Piano,Re2	Piano,Re1	Piano,-	
			
			
			
Re2	Re1		
			
			
			
Re2	Re1		
Re2	Re1		
			
Re2	Re1		
			
Re2	Re1		
Re2	Re1		
			
Re2	Re1		
			
			
			
Re2	Re1		
			
			
			
Re2	Re1		
Re2	Re1		
			
Re2	Re1		
			
Re2	Re1		
Re2	Re1		
			
Re2	Re1	Fa5	
			
			
			
Re2	Re1		
			
			
			
Re2	Re1
Re2	Re1		
			
Re2	Re1		
			
Re2	Re1		
Re2	Re1		
			
Re2	Re1	Mi5	
			
			
			
Re2	Re1		
			
			
			
Re2	Re1		
Re2	Re1		
			
Re2	Re1		
			
Re2	Re1		
Re2	Re1	
			
Sib1	Sib2	Lab5
			
			
			
Sib1	Sib2		
			
			
			
Sib1	Sib2		
Sib1	Sib2		
			
Sib1	Sib2		
			
Sib1	Sib2		
Sib1	Sib2		

Sib1	Sib2
			
			
			
Sib1	Sib2		
			
			
			
Sib1	Sib2		
Sib1	Sib2		
			
Sib1	Sib2		
			
Sib1	Sib2		
Sib1	Sib2		

Re2	Re1	La5	
			
			
			
Re2	Re1		
			
			
			
Re2	Re1
Re2	Re1		
			
Re2	Re1		
			
Re2	Re1		
Re2	Re1		
			
Re2	Re1	Lab5	
			
			
			
Re2	Re1		
			
			
			
Re2	Re1		
Re2	Re1		
			
Re2	Re1		
			
Re2	Re1		
Re2	Re1
			
Sib1	Sib2	Fa5
			
			
			
Sib1	Sib2		
			
			
			
Sib1	Sib2		
Sib1	Sib2		
			
Sib1	Sib2		
			
Sib1	Sib2		
Sib1	Sib2		

Sib1	Sib2
			
			
			
Sib1	Sib2		
			
			
			
Sib1	Sib2		
Sib1	Sib2		
			
Sib1	Sib2		
			
Sib1	Sib2		
Sib1	Sib2		

